真是花中瑞|本朝名始闻|江南一梦后|天下遇清芬
石屋先生卧白云|年年秋月叹离群|因怜世路多逋客|早为山灵布檄文
漏滴铜龙夜已深|柳梢斜月弄疏阴|满园芳草年年恨|剔尽灯花夜夜心
牛夸棋品无勍敌|谢占诗家作上流|岂似小敷春水涨|年年鸾鹤待仙舟
老郎日日忧苍鬓|远守年年厌白苹|终日相思不相见|长频相见是何人
雅淡风光近上元|迎神箫鼓自年年|客行不趁花灯市|月满寒江水拍天
牛山日日夕阳红|鹿洞年年草色浓|更有当时马行处|郴人犹指旧骡踪
年年寒食问饧糖|糁米炊糕入夜忙|今日一抔同水上|杯盘满地有谁尝
十分蟾影照人间|一片山河古影寒|惆怅年年今夜月|人生能得几回看
左餐右粥年年饱|南陌东阡处处闲|幸免催租败幽兴|岂容对酒惜酡颜
春水年年上钓矶|扁舟今趁暮潮归|羊裘已被虚名累|须向沧洲著布衣
数尺游丝堕碧空|年年长是惹东风|争知天上无人住|亦有春愁鹤发翁
花满晴烟树满云|我来宁是学仙人|愿将九曲溪头水|散作年年百里春
紫禁春醲雪未消|年年香冷只飘飖|许身入画酬清赏|不嫁东风过小桥
年年塞草欲秋时|左右红旗说战机|介胄粗官应有语|而今宰相好吟诗
自读西湖处士诗|年年临水看幽姿|晴窗画出横斜影|绝胜前村夜雪时
月月便车奔帝阙|年年贡士过荆台|如何三度槐花落|未见故人携卷来
红白株株更间黄|也怜颜色也怜香|道人不是栽花手|春雨年年此际忙
年年春去归何处|今日须为别一番|把酒问花花不语|夜来风雨泪珊珊
湖上看花意欲迷|年年花谢忆花时|如今一见冯生画|早晚看花更不疑
年年以酒浇残腊|日日为诗作好春|涧水渐生梅正发|鸟啼人语亦清新
削竹千枝作缆枝|枝长枝短似游丝|年年百丈无穷路|牵断肝肠人不知
长是年年趁雪妍|一鞭迟著笑今年|姓名虽在百花上|终不敢为天下先
千山绕缭杜鹃开|挂纸罍尊满插来|应是空斋兄妹血|年年春雨不能灰
春草年年怨别离|生还不分及瓜时|天寒虮虱生金甲|雪里龙蛇落画旗
彭城游乐几人家|踪迹荒凉没水涯|秋菊不知今古事|年年依旧发黄花
年年人日到长干|取次看灯不忍看|十四楼边新月夜|银筝小袖歇春寒
紫薇易开亦易残|紫薇热客有时寒|何如墨史将吟伯|岁岁年年画里看
画阑倚玉对偎红|娜袅翻阶放艳秾|自笑主人无个事|年年携酒祝东风
铁甲年年卧戌楼|将军未老鬓先秋|防边奇计谁能识|量尽寒沙夜唱筹
力贫藏得五车书|趁就炎歊晒壁鱼|安得身闲饶目力|年年铅椠课三馀
潮入孤村灌小池|新泉正好濯缨时|隔溪应有人来往|五月年年折荔枝
偶因试马小盘桓|明德门前御道宽|楼下绿杨楼上酒|年年万国会衣冠
灭影双溪死便烧|年年枫落见清潮|浙江亭下晴翻雪|卷作浑涛怒不消
学把锄头莳小畦|牡丹不种种荼縻|花开赢得年年看|棘蔓犹堪补败篱
摇摇红影一枝斜|看舞东风两髻娃|堪笑年年未归客|借人池馆赏春花
年年荆棘侵儒苑|处处烟尘满战场|岂料今朝觐宣父|豁开凡眼睹文章
纠峰岭半树森然|伐竹编成翠底廛|杂客不来尘思少|落花啼鸟自年年
桂泠松香十里闲|水晶如意玉连环|年年笑伴皆归去|门对寒流雪满山
草绿平原春雨歇|花残曲径夕阳明|朝来暮去年年似|吹散荣华是此声
卖犊年年得几钱|移家何处问安眠|白头笑恐黄山尹|他日催租更卖田
楼下芳园最占春|年年结侣采花频|繁霜一夜相撩治|不似佳人似老人
寂寞梅花处士坟|竹围岩脚一泉深|隃瞻翠辇曾游处|水钥年年护绿阴
河堤石表古来存|知为谁家守墓门|旧冢已墟人世换|年年乌鸟当儿孙
年年多费草鞋钱|一钵沿门为众添|于今又向他山去|有话聊将白纸传
十亩荒园野水边|尽栽梅树不论钱|珍重木瓢任真率|年年携此醉花前
年年春信遣人疑|赚出诗人枉觅诗|著意探梅偏不发|月斜偶见一横枝
当关龙虎拥层台|此地年年翠辇回|八月千官瞻候日|旧陪词馆小臣来
芳原白兔怯人过|金粟年年入望多|见说当时宫里事|却因灵药误嫦娥
年年此际走烟岚|人亦何尝谓我贪|归见交亲话清胜|且无防患在三缄
年年长是客天涯|几向天涯梦到家|归到故家无一字|兔葵莺粟正开花
谁测先生意趣难|贫如原宪学宗颜|年年酒债将琴当|岁岁诗狂待月还
最是东风管别离|年年吹发绿杨枝|行人去日曾攀折|每到春来有所思
水南水北重重柳|山后山前处处梅|未即此身随物化|年年长趁此时来
古星当崖映日间|年年常伴白云闲|糇粮丹火何从出|四面无人见下山
水殿年年占早芳|柔条偏惹御炉香|而今万乘多巡狩|辇路无阴绿草长
自笑兵厨吏不虔|冻醅如蜜只年年|却思踏雪江头路|屡费诗人一斗钱
石门幽鸟语关关|仙子游踪不可攀|总为伤情无尽处|年年合浦叶飞还
谩说人间假像真|老君形相亦虚言|岩前瑞气归宸翰|佛子年年□国恩
春风羸马出郊坰|忽忆心知涕泪零|最是无情坟上草|年年寒食自青青
殷勤春在曲江头|全藉群仙占胜游|何必三山待鸾鹤|年年此地是瀛洲
秋日闲吟秋水篇|是非不到竹林边|年年篱下丛生菊|自倚寒光伴醉眠
南极坤垠是故乡|故乡翘望正茫茫|年年秋近归鸿急|一见归鸿一断肠
夜来江雨宿蓬船|卧听淋铃不忍眠|却忆紫微情调逸|阻风中酒过年年
琼台玉馆照青红|梦断思陵桧柏风|三十二门金锁合|年年春雨扫梧桐
娇黄无力趁芳菲|待得秋风落叶飞|空有丹心能就日|年年憔悴对斜晖
杜鹃非是翠芳残|底事年年叫出山|纸帐竹床清到底|不堪声入梦魂闲
年年节与物相符|笋已成竿燕欲雏|客里不知端午近|卖花担上见菖蒲
千金犯险脱旃裘|谁料南冠反见雠|记取小西门外事|年年上巳哭江头
年年明月总相似|大抵人情自不同|今夜故山依旧见|班家扇样碧峰东
落红飞絮半沾泥|别意年年客里题|欲唱渭城江雨暮|阳关只在秣陵西
小径黄花艳艳开|晚风时有异香来|长杨红粉知多少|争似年年照酒杯
世事兴亡千古意|山花开落几番春|年年惟有岩头月|照尽今人与古人
槐绿乍迷青羽盖|樱红已荐赤瑛盘|太平节物年年好|又见浮菖与浴兰
文帝年年下玺书|唯忧农亩不丰馀|匈奴嫚侮吾甘忍|所喜千仓饱贮储
山南桃李竞春光|食实年年在异乡|应被旁人暗相笑|闲官那得许多忙
愤深藉馆年年祭|痛切夷陵岁岁祠|不见征南遗爱地|至今泪堕岘山碑
东篱何在菊年年|菊视陶诗竟孰贤|未必缘诗花更好|花将诗与万人传
不须蟾桂十分圆|自有春花万种妍|岁岁年年长寿酒|海棠开后牡丹前
天台路上寻牛迹|瀑雪千寻带月飞|见说石桥行不得|年年春雨上苔衣
溪水年年自浅深|山云日日半晴阴|溪山好处划开眼|看水看山悟此心
桃李年年上国新|单于鼓角隔山闻|一行书信千行泪|不是思君是恨君
年年渐觉老人稀|欲别孙翁泪满衣|未死不知何处去|此身终向此原归
年年九日怯登台|此日登台眼独开|瞬息塞尘吹欲尽|无人知自大江来
风吹花树昨朝红|今日看花树已空|可惜天高花薄命|年年开落只由风
杏花千树洛阳春|白傅年年爱赵村|月蕊晴葩风露格|老夫移得在东园
银潢何限鹊查查|看得桥成度宝车|如许风标无用处|年年分占水荭花
年年春色总输梅|长向百花头上开|却恨今年春独晚|正须乘月为公来
醉约金山看海流|兴飞江汉忽西游|龙沙月色年年满|独照匡庐万仞秋
扶桑西距若华东|尽在天王职贡中|一自秦原有烽火|年年选将戍河潼
吏胥无复到乡村|諠杂何曾及县门|岁岁年年比今日|邑人常戴府公恩
东风桃李年年在|化国光阴日日长|试数开元到今夕|几经繁盛几凄凉
五千馀卷在高台|内史翻时腊屐来|梦断池塘人不见|年年春草绿成堆
晓山漠漠尽烟霏|四面楼台白鸟稀|芳草年年湖上路|柳花风送钓船归
年年陌上起骊歌|别恨秋声可奈何|欲折一枝桥畔柳|长条零落已无多
路绕长堤万柳斜|年年春草待香车|君王不宴芳春酒|空锁名园日暮花
天申佳节继天中|贺庆年年信始通|明诏重颁浮论息|共知至计出天衷
锦楼寿曲未须吹|且听江边老妇词|但愿年年好官长|一如官长在官时
数百年间彩凤来|只今山下有荒台|梧桐叶落苍筠老|春雨年年长绿苔
谁道城东烟雨多|半村桑柘半村莎|山深不识朱衣吏|春社年年燕子过
年年不是要悲秋|秋气愁人不自由|谁见江南魂断处|潇湘帝子在眉头
黄梅风雨自年年|今日沙头浪拍天|最是便君多大略|笑看东海欲投鞭
年年修褉浣平沙|太液烟波驻翠华|已遣少儿争斗草|更教宫女作司花
我爱霅溪风景闲|年年鱼鸟伴湖山|利名人到心犹静|况是老僧长闭关
从教节序暗相催|历日尘生懒看来|却是石榴知立夏|年年此日一花开
谩自尘劳鬓欲华|故园空锁未开花|年年饱看春来去|输与西湖处士家
疏柳衰荷又一时|清波飞叶梦灵芝|年年踏尽溪边路|不觉吴霜点鬓丝
新柳风吹与浪黄|画桥东去玉泉长|年年三月花飞节|得入宫门泛御香
章台自有路旁情|可恨年年赠远行|记得昔时攀折处|新稊重向旧痕生
燕子年年入户飞|向人无是亦无非|来春强健还相见|送汝将雏又一归
豫让酬恩岁已深|高名不朽到如今|年年桥上行人过|谁有当时国士心
镜留雪鬓暖消无|春到梨花日又晡|移取扶桑阶下种|年年看长碍金乌
黄花照眼又经秋|山自青青江自流|多谢龙头鳌禁客|年年把酒到江楼
重九仍重岁渐阑|强开病眼更登攀|年年认得酣歌处|犹恐招魂葬故山
绝漠烧荒汉使还|秋风先到贺兰山|大宛大马年年入|谁道丸泥闭玉关
丰钟逐散晓云遮|我欲伸冤玉帝家|青女一身都是胆|年年随下月偷花
年年遇着中秋节|活计虽贫强自欢|不似今年贫得甚|倚栏无个月明看
有怀佳伴每忻然|岁晚相看不待言|应笑老身山涧曲|年年炙背只晴暄
闻道黄杨山上头|千峰环抱百泉幽|羡君柱杖年年去|饱看人间万顷秋
上苑年年占物华|东湖同住水云家|莫言春度芳菲尽|闲闭春风看落花
年年醉倒春风前|一片花光杂管弦|今日经行乱山里|且寻僧话看茶烟
绿水桥头小钓车|数椽败屋柱槎牙|年年贼火无人住|风落棠梨几片花
雪点颠狂乱送春|穿帘透幕若相亲|年年三月西陵渡|愁杀轻舟度水人
九曲溪边玉女峰|年年独倚落花风|何因不驾青鸾去|伫立空山皓月中
流棹西来恨未销|鱼龙寂寞暗风潮|楚人犹自贪儿戏|江上年年夺锦标
红颜岁岁老金微|砂碛年年卧铁衣|白草城中春不入|黄花戍上雁长飞
莲花冠子道人衣|日侍君王宴紫徽|花开不知人已去|年年斗绿与争绯
浩劫循环无始终|年年玉李杲春空|初成未占兹山顶|古老唯传展上公
天目山头紫气空|钱塘江上暮烟重|王图伯业无消息|潮水年年入巽峰
兰陵公子留题后|野草闲花变四时|惟有此君犹好在|年年添得岁寒枝
浦口柴扉几日开|江门烟艇暮秋回|交情亦似长江水|南北年年送往来
曲槛无人花乱开|都梁烧尽日西颓|年年剩得腰如柳|空看昭阳舞队回
镜中颜状年年改|海内交朋日日疏|一恸寝门生意尽|从今无复季长书
浪迹人间数十年|年年散发醉江天|岳阳楼上留三日|聊与潇湘结后缘
莺老阴浓昼景迟|园林又是过芳时|香腮粉蕊年年好|只羡游蜂野蝶知
广文遗韵留樗散|鸡犬图书共一船|自说江湖不归事|阻风中酒过年年
桃源只在市城边|锦瑟明妆满画船|莫怪道人回首处|朝来暮去已年年
渺渺烟波接九疑|几人经此泣江蓠|年年绿水青山色|不改重华南狩时
佳节宫中降五丝|宫衣结束彩相宜|只因缕缕恩常在|愿得年年奉玉墀
捣药年年住广寒|琼浆时吸桂花丹|何人最慕仙家景|移取霜毛画里看
稀微斜照影鳌山|黼座高临缥缈间|共祝吾皇千万寿|年年华阙觐天颜
凤凰山畔永思堂|山谷先生有旧乡|修水年年流不尽|斯文长与日争光
早讶年年狂士来|每来亭上独徘徊|山应又喜添知己|去后山容似死灰
肯如刘阮自思还|总为乔仙去莫攀|长恨天台迷旧路|年年桃发泣朱颜
当轩酌酒酹花神|愿得年年对此辰|莫就开时看早暮|枝南枝北总芳春
岁岁年年花状头|瑶珰琼佩瑞光浮|玉螭赏遍三千界|不识珠帘十二楼
年年自漉雪前醅|今岁无缘得一杯|政是荒村愁绝处|家中送得六尊来
枯笠摇风雪满衣|年年辛苦事渔矶|有时钓得鳣鲸上|又被行人买得归
此生得作太平人|只向尘中便出尘|移取碧桃花万树|年年自乐故乡春
谁言大药有仙传|试就兹翁问大年|道是年年随日过|饥时吃饭倦时眠
沈香羯鼓弄春杯|席上才看半作堆|争似君家屏障里|年年岁岁有花开
长生有术在香闺|方朔年年取小妻|白可鸳鸯成七十|莫教莲叶有东西
环子竟逢山下鬼|老翁空叹木牵丝|年年牛女相逢夕|记得凭肩私语时
年年长恨春归速|脱手背人收拾难|那料高人笔端妙|一枝留得雾中看
未会牵牛意若何|须邀织女织金梭|年年乞与人间巧|不道人间巧已多
年年花药䌸红罗|给谏池塘影赤波|争似黄冠簪玉导|色虽不及丰神过
白首几人能到家|暮云残月隔三巴|巴江不是无皈路|何事年年怨□□
风霜不折参天枝|兵火难烧溜雨皮|长向莲台乞古佛|年年甘露洒慈悲
年年时节菊初开|满插花枝倒酒杯|今日秋风欺病客|惟将白发上头来
种柳栽花旧惜春|不知春色为谁新|年年青眼樽前客|只有寒梅是故人
雕兰十二曲相维|无那花枝不自持|不见酒旗歌舞地|年年风雨葬西施
少壮东堂奏捷功|浮香仙籍继家风|年年占得中元景|一颗冰轮照九穹
胡风冻合䴙鹈泉|牧马千群逐暖川|塞外征行无尽日|年年移帐雪中天
来车去马拜纷纷|岁岁年年不惮烦|拜得老人山上去|一番儿女各当门
半百经纶未奏功|年年从事狡儿童|归来且喜书囊在|豹略龙韬尽梦中
寻章摘句老雕虫|晓月当帘挂玉弓|不见年年辽海上|文章何处哭秋风
风可前湾月可船|荻花开落任年年|潮平网得鱼多少|只换清酤不换钱
水面绿盘擎雨出|临风几度倚阑干|不知暖气有多少|老子年年得御寒
只了年年作逐臣|衣冠褴缕面埃尘|偶逢令尹留连我|不畏狂生点涴人
咽雨哀风更不停|春光于尔岂无情|宜须唤得谢豹出|方始年年无此声
玉辇宸游事已空|尚馀奎藻绘春风|年年花鸟无穷恨|尽在苍梧夕照中
过烟披雨见蒙茸|平野高原望不穷|同是一般春色里|年年各自领东风
六月江千冰雪凉|射洪春酒郁金香|自从筇竹通西夏|汉使年年出夜郎
天临北极郁崔嵬|玉帛年年万国来|君王二月南巡狩|春水朝宗江汉回
太平池馆乐游原|昔日繁华今几存|祓禊年年人尽乐|野花开遍水潺湲
年年二月看花时|野笛小园长短吹|谁道今年看花日|鞦韆门外鼓声悲
郑人兰佩不须夸|自别团香擅国华|客枕莫疑无好梦|年年同有瑞香花
年年桂绽菊开时|长忆芳樽共一卮|请诵周人和乐句|全胜三叹陟冈诗
青山憔悴故将军|苔甲年年印水纹|受尽蛮烟与瘴雨|不知溪上有闲云
满洛城中将相家|广栽桃李作生涯|年年二月凭高处|不见人家只见花
我今收得长生法|年年海上觅知音|不知谁是知音者|试把狂言著意寻
绮罗开作野花闲|锦雉南飞去不还|独有旧时江上月|年年清影照阳山
传芳远远自西邻|锦伞高张熨眼新|花睡觉来红泪落|年年如忆故宫春
只今新暑已歊然|作么禁当六月天|飞上风前最凉处|年年输与柳梢蝉
帝业龙兴复古初|穹隆帐幄倚空虚|年年清暑大安阁|巡幸山川太史书
南鸿北燕日蹁跹|每岁征程计八千|却怪沿堤春后柳|年年新色为余怜
年年时节近天申|喜气欢声逐日新|请祝圣人如一口|定知德寿万年春
西亩田翁橘柚黄|东邻稚子稻如霜|独怜寥寂杨雄宅|岁岁年年书满床
孟光书寄与梁鸿|薪粲年年幸可同|触热忘归浑细事|笑人应有北窗风
满眼西风忆故庐|亲朋音问久相疏|年年江上无情雁|只带秋来不带书
七宝装成射雉场|人间还阅几齐梁|潘妃自踏金莲去|不见年年春草长
年年梅里见诸杨|火齐堆盘更有香|风味十分如荔子|何妨盛著绛纱囊
一炬曹瞒仅脱身|谢郎棋畔走苻秦|年年拈起防江字|地下诸贤会笑人
夜深投寺解行装|一点寒灯照上方|老宿问余何处去|年年来此借禅床
底事蹉跎二八年|嫁时装著未周旋|年年织得新丝绢|又被家翁作税钱
寒梅蓄积香成蕾|古柳安排绿入绦|景物年年觉新好|所怜幽独自萧骚
安乐窝前小江曲|新蒲细柳年年绿|眼前随分好光阴|谁道人生多不足
衣上缁尘四十霜|玉华东畔忆家乡|年年开到梅花日|吟咏疏篱野水傍
岩头风急树攲斜|溪畔渔樵十数家|老尽往来名利客|年年秋水映芦花
飞尽沙田到水乡|年年来往为谁忙|只贪月夜芦花宿|不是将身傍稻粱
我竹林翁所得奇|心传佛要面仙姿|年年六月十二日|观取高斋祝寿诗
朝朝暮暮檄书闻|岁岁年年度陇云|莫道边城兵马怯|悬知只少霍将军
苎萝仙子绛纱裳|岁岁年年逞色香|不比阿环池上果|一千年得一番尝
螺湖盘古白云堆|忆著常因梦里回|得似篮舆引诸弟|年年霜露及时来
六曲溪头处士家|年年篱落万枝花|怪来驿使无消息|却报烟村一树斜
年年宫柳好春光|百啭黄鹂绕建章|冶杏夭桃红胜锦|牡丹屏里燕诸王
千古人心指下传|杨姝烟月过年年|不知心向谁边切|弹尽松风欲断弦
满眼风光又小春|却寒帘底暖如温|年年十月华清幸|知是谁先被主恩
不管髼松雪满颠|笔床茶灶度年年|穷愁博得长清健|多折梅花供老天
笼烟朵朵亚枝娇|珍重年年到野桥|稚子候门无客报|白头真负紫霞绡
骇浪惊风动楚天|乡心羁思漫年年|鲈鱼不受寒江钓|今夜朱矶雪满船
白头纷壤复年年|未见浮生可释肩|入手屠苏虽在后|耽心烦苦却居前
年年周孔道何多|谁为缁黄保不磨|却笑纷纷韩孟辈|空言无奈异端何
吴江花发暮春衣|暂逐童冠一醉归|君去正如彭蠡雁|年年还向蓟门飞
谏官一字照天涯|南海年年问钓沙|沧波不与黄门信|笑杀龙钟百姓家
看看秋色此平分|何处笙歌入夜闻|独有多情端正月|年年依旧到长门
夭艳迎人意欲迷|不言正是怨深时|愁肠百端不堪续|惆怅年年开向谁
年年睡债苦相关|好梦长随苦角残|作意归来偿宿负|透窗遮莫已三竿
王府原头芳草芊|却怜杜宇自年年|停杯试向窗前看|飞尽杨花几树绵
山塞惟予在汝先|年年酌水献诗篇|天心只爱文章老|那管长愁几百年
林间艳色骄天马|苑里秾华伴丽人|愿逐南风飞帝席|年年含笑舞青春
年年踏雪探梅开|二月今年始见梅|从此逢春心转懒|小诗不拟觅花裁
夜窗松月旧家风|宦海飘流鞅掌中|但觉年年添一岁|不知齿豁与头童
曾嗟雁唳越王台|何处分飞又北来|游子几时归故里|年年秋影落空杯
斑衣爵跃为亲寿|岁岁年年兄弟同|今日潇湘亦佳节|独将无语对东风
赣水西边是贼壕|年年楚越泣弓刀|天戈指处欃枪落|来岁徐看破尔曹
快阁矶前当水头|年年春涨阻南游|料得老翁携稚子|登楼看水说筠州
满园佳菊郁金黄|寿质清癯独傲霜|且喜年年作花主|依然相伴向秋光
与君他语自差殊|独爱交财是丈夫|愿见年年生日会|老来活计尚关渠
忆共佳人曝绣衣|馀香如昨旧欢非|鹊桥虽别年年在|犹胜娇魂去不归
半藏舍利半莓苔|劫火曾经未化灰|芳草年年春自绿|六朝往事一寒堆
□□无情不可亲|年年遣使浪填津|武侯会有两篇表|读罢令人泪满巾
燕雪常飞十月前|弊裘破帽过年年|拥炉自笑何为者|欲买浊醪无一钱
高蹈殊庭二十春|随时游乐为同民|翠舆黄伞西湖路|老耨年年喜望尘
歌管年年乐太平|而今钲鼓替欢声|裴公祠下无穷水|好乞馀波为洗兵
老蛟力斗死池中|山下流泉暗谷通|风雨年年常十五|休将涓滴强邀功
夹径梨花玉作英|年年寒食伴阴晴|要看雪色无边际|十二楼前月正明
垂鞭信马日西斜|灵沼吟看起叹嗟|鱼鳖成尘春水涸|年年惟见长桑麻
马嘶九陌年年苦|人语千门日日新|唯有终南寂无事|寒光不入帝乡尘
朱轓何事独来频|不为溪山只为民|最爱年年禾稻熟|时丰自有壤歌人
拔尽新秧插尽田|出城一眼翠无边|不关雨水愁行客|政是年年雨水天
散躅探幽几度来|径开如矢净无埃|年年溪上春归后|千树阴浓覆石苔
棠树阴阴手自栽|年年春日领春来|道傍芳草无人问|一度东风一度灰
水明楼上看明月|共对冰盘品荔枝|今日谱成君不见|年年肠断荔枝时
秋风如此客辞家|重理平生旧帽纱|不是故山无白酒|年年奔走负黄花
朝发铜陵暮扬子|年年白浪江中归|江人收身苦宜早|一生却向江中老
风含远思翛翛晚|日照高情的的秋|何事满江惆怅水|年年无语向东流
年年除莫即相呼|夜语如君不可无|为报岁寒同社客|今年不要作柴炉
战争久断海南天|一本闽花价十千|学得闽天分剪法|衣花食卉彀年年
岁岁年年君去家|年年岁岁树开花|年年君去无消息|岁岁花开感物华
年年暑去皆有期|今年暑去何迟迟|不知摇败几团扇|得到西风吹面时
年年绿水送残红|不怨东君只怨风|芳草连云愁更远|劝君当醉万花中
共惜流年留不得|且环流水醉流杯|无情红艳年年盛|不恨凋零却恨开
帝乡春日曾舒卷|溪馆秋风每见之|处处云生山似画|年年老去鬓如丝
人物风流往往非|空馀陋巷作乌衣|旧时帘幕无从觅|只有年年社燕归
池塘春暖水纹开|堤柳垂丝间野梅|江上年年芳意早|蓬瀛春色逐潮来
年年腊尾庆生申|共祝槐庭过万春|天使长生辅真主|人间不用说庄椿
一峰峭立俯群山|下有僧居一体闲|收拾春烟与秋雨|年年曾在碧苔间
石头城下炬烧寒|司马东来骨肉残|可惜六朝花粉地|年年风雨草漫漫
满眼黄花慰素贫|年年结侣采花频|要收节物归觞咏|只许闲人作主人
翰苑何时休嫁女|文昌早晚罢生儿|上林新桂年年发|不许平人折一枝
年年烂醉万梅中|吸酒如鲸到手空|花欲过时常惜别|今年此别更匆匆
集贤池馆从他盛|履道林亭勿自轻|往往归来嫌窄小|年年为主莫无情
人物风流往事非|空馀陋巷作乌衣|旧时帘幕无从觅|祇有年年社燕归
西陵渡头秋水寒|年年岁岁走儒冠|不知天姥山中客|十载关门傲长官
顿有亭前春耐寒|年年扶杖雪中看|不知谢子题诗处|比得王家第几般
看山亭下小鸣泉|呜咽难通亦可怜|惆怅无人为疏凿|拥愁含恨过年年
乾坤千古总糊涂|何事年年带血呼|只有莲花归处好|凤凰山上亦荒芜
玉检金泥事惘然|苍崖翠柏自年年|不知异日甘泉树|可在仙人雨露边
每看灯市搭松枝|清在灯光映月时|石埠年年挑不尽|今年刚得一篇诗
菊花须饮过重阳|待过重阴菊更芳|家在甘潭人不识|年年生日酒中尝
寥落山榴深映叶|红霞浅带碧霄云|曲尘枝下年年见|别似衣裳不似裙
野芳汀芷互幽妍|相国风流亦未传|衮冕尘埃半山寺|自相撑拄过年年
洛阳女儿红颜多|远随夫婿成三河|只令海上年年别|啼杀山南山鹧鸪
金张亭馆帝城边|北里南邻竞管弦|山鸟日来游客醉|曲池芳草自年年
织锦无成上帝嗔|憨慵长夜望河津|何从更得蛛丝里|剩巧年年乞与人
故国城荒德未荒|年年椒奠湿中堂|迩来父子争天下|不信人间有让王
东风榆柳雁飞斜|寒食年年不在家|解道逢僧间半日|莫将僧舍比官衙
可笑春蚕有许痴|年年辛苦为他谁|恰如贫女飞梭了|挂体何曾有一丝
石桥分水晓香台|门掩疏钟昼不开|曾是木樨花下客|年年今日又重来
日日勃鸠相应鸣|年年春草趁愁生|道人不怕冰霜面|又作南舟十日行
陪祀成均振佩琚|年年鼎肉馂神馀|谁知万死投边裔|亦荷分膰到谪居
二月边城雪尚飞|年年草色见春迟|不知上苑新桃李|开到东风第几枝
衣上年年泪血痕|只将怀抱诉乾坤|如今主圣臣贤日|岂致人间一物冤
数点烟香出庙门|女娥飞去影中存|年年岭上春无主|露泣花愁断客魂
有子见知真西山|有孙又把桂枝攀|堂前萱草年年绿|庆事天公定不悭
古木阴阴石枕溪|千年冷浸谢家诗|池塘青草年年换|惟有红泉似旧时
电露荣华一梦休|琴书多是越僧收|年年柳下游人过|指点春风认竹楼
甘霖长濑四五尺|宿雾缄山三两重|惭愧□□□□策|年年来为母浇松
菊殿百花梅第一|重阳节过小春来|年年岁岁身长健|摆去穷愁醉几杯
三洲清玩忆年年|杖履真游兴浩然|一幅寰中仙岛画|翠涵虚壁自开天
积雨古墙生绿衣|幽花点点弄秋姿|黄昏楼角看新月|还是年年牛女时
枯芦断岸年年雪|古木颓垣夜夜风|自是江山入图画|可堪华发道途中
万里乡山路不通|年年佳节百忧中|催成客睡须春酒|老却梅花是晓风
凤箫声断彩鸾来|弄玉仙游竟不回|英气至今留世上|年年化作此花开
江头片石星霜老|古昔曾经砺太阿|可惜英雄收不得|年年风雨倩人磨
渭上衣冠故老哀|西陵石径已莓苔|从今仗下新歌舞|长及年年献酎来
年年圩长集圩丁|不要招呼自要行|万杵一鸣千畚土|大呼高唱总齐声
紫阳观前当大河|黄金峡里听渔歌|北来南去年年好|水远山长奈别何
所不贷人惟世道|最无穷处是天机|昂藏池上霜枫树|寒冷年年著锦衣
石马寒嘶卧古松|地老幽魂向此中|穷杀城南耕瘠土|年年冢畔哭秋风
莲开宫沼年年盛|香染斑衣叶叶新|愿借琴音奏清雅|薰风凉殿寿双亲
江湖寥落转飘蓬|归梦年年逐去鸿|吟鬓一番春又半|杏花无语立东风
孤根抱石半岩生|玉骨知春自发荣|我有此间来往债|年年须挽一枝行
阊门杨柳自春风|水殿幽花泣露红|飞絮年年满城郭|行人不见馆娃宫
弱线千条拂建章|染成深绿与轻黄|年年白帝勤收取|纫付天孙制锦裳
东风日日涨黄沙|供佛床头始见花|寒食清明好时节|年年憔悴独离家
湘女祠前半夕晖|采芳纫佩志空违|年年绿遍东风里|肠断王孙去不归
万里风帆水著天|麝煤鼠尾过年年|沧江静夜虹贯月|定是米家书画船
忆昔初为总角儿|年年秋后厌旌旗|只今廓廓浑无事|樽酒何妨乐圣时
未有涓埃荅九天|漫叨官廪过年年|静思仕学多违性|搔首能无愧往贤
伐木年年结构劳|常怀良法在甄陶|忽看胜迹留千载|十日辛勤赖尔曹
失笑羁人泥听禽|年年春老益愁心|江城树少无栖处|堕落千岩万壑深
秋草黄云塞马肥|汉家骠骑拥旌旗|可能卫霍年年出|不及燕然一片碑
良人如玉映冰壶|何事年年在远涂|为国防秋青海去|不如庭树两栖乌
锦江鸾扇郁金香|黄帕擎来近御床|窃禄南宫无补报|年年颁赐沐恩光
二月镜湖水拍天|禹王庙下斗龙船|龙船相似年年好|人自今年异去年
短翼含风薄似秋|一声声带夕阳愁|年年古柳官塘路|催得行人白尽头
三间书屋年年在|一点禅灯夜夜明|门外青苗浑不见|半山松竹自秋声
良人的的有奇才|何事年年被放回|如今妾面羞君面|君若来时近夜来
长日摊书静掩门|隔窗啼鸟暗销魂|年年多少违心恨|欲向东君一细论
浅为玉茗深都胜|大曰山茶小树红|名誉漫多朋援少|年年身在雪霜中
故人不惜马虺隤|许我年年一度来|野馆萧条无准拟|与君封殖浪山梅
年年如燕一还家|又访幽居过水涯|风雨满城春欲暮|山中犹有碧桃花
华光深閟养黄芽|又见婴儿继女牙|好赋梦熊诗百首|年年持赠老仙家
元帝遗宫在石头|年年长吏祀春秋|几多整顿乾坤手|闲绕回廊看不休
九日年年负物华|野香未肯到山家|今年九日风光别|不独黄花更紫花
万里清光步步旋|凌波顾影为谁妍|柳梅疏处吟秋夜|未必年年个样圆
煖响乌𣡶二月初|调高不作小单于|年年陌上儿童戏|嚼徵含商尽不如
